horizon,n,target_ic,recovery_prob,mean_recovered_ic,sd_recovered_ic,mean_bootstrap_se,ci_lo_mean,ci_hi_mean,bias
1y,47,0.05,0.19,0.0521687095282146,0.1547436421990004,0.0987666880645166,-0.1386292495374653,0.2417432932469934,0.0021687095282146
1y,47,0.07,0.175,0.0539014801110083,0.1476138036773022,0.1004897370664343,-0.1400011274283071,0.2469191431544865,-0.0160985198889916
1y,47,0.1,0.235,0.0987124190564292,0.1424987092796612,0.1011965196408086,-0.0985837043246993,0.2924333082793708,-0.0012875809435707
1y,47,0.12,0.325,0.1168778908418131,,0.0989296162795069,,,-0.003122109158186892
1y,47,0.15,0.405,0.1611488205365402,,0.1001443098921868,,,0.011148820536540205
1y,47,0.2,0.49,0.1956400323774283,,0.0973041973659025,,,-0.004359967622571709
1y,47,0.25,0.66,0.2410765494912118,,0.0955836987988802,,,-0.008923450508788205
1y,47,0.3,0.735,0.2889535152636447,,0.0926079128904991,,,-0.011046484736355278
1y,47,0.4,0.915,0.3745738899167438,,0.0881685196199245,,,-0.025426110083256237
2w,1264,0.0,0.035,0.001396716773266,0.0260832190425823,0.0278349305330037,-0.052409203671668,0.0556770617892425,0.001396716773266
2w,1264,0.01,0.08,0.0111397003955183,0.0269027994080675,0.0278449831713473,-0.043111645226018,0.0652122547284891,0.0011397003955183
2w,1264,0.02,0.12,0.0202168809369795,0.0278647430325603,0.0279059041984656,-0.0332167042299288,0.0747741159730368,0.0002168809369795
2w,1264,0.03,0.17,0.0298301294594455,0.0295904881179358,0.0278937701075041,-0.0244537567441402,0.0837564534257243,-0.0001698705405544
2w,1264,0.04,0.28,0.0382361970554019,0.0273253907375266,0.0276117519832522,-0.015203090800588,0.0916207135766514,-0.001763802944598
2w,1264,0.05,0.425,0.0471008807744036,0.0293227727545799,0.0277094821007664,-0.0067985912807398,0.1006611643158908,-0.0028991192255963
2w,1264,0.07,0.655,0.0638676691809296,0.0290493011599424,0.0277917673737607,0.0097069461821799,0.117482452499261,-0.0061323308190703
2w,1264,0.1,0.91,0.0967575849777415,0.0277850854061794,0.0276036965156534,0.0429092449648387,0.1495695662594879,-0.0032424150222584
3m,180,0.0,0.02,-0.0079424364949535,0.0727221859568925,0.0689116683745615,-0.1411143095980328,0.1256152527855797,-0.0079424364949535
3m,180,0.01,0.06,0.0118941222465713,0.0733459764147284,0.0691088266585963,-0.1221805557270286,0.1455033534985647,0.0018941222465713
3m,180,0.02,0.03,0.0085995246766875,0.0751860338534565,0.068981411074673,-0.1255042310976676,0.1418268418778356,-0.0114004753233124
3m,180,0.03,0.095,0.0326892393798162,0.0761567234653526,0.0682563905464147,-0.0994565295225161,0.164816766721195,0.0026892393798162
3m,180,0.04,0.125,0.0418720639525911,0.0822793809628094,0.0682863069447279,-0.0910181157854666,0.1733295001388931,0.0018720639525911
3m,180,0.05,0.14,0.0492804716194944,0.074673930898638,0.0688465006444106,-0.0845718700165643,0.181983257970925,-0.0007195283805055
3m,180,0.07,0.17,0.067244215356441,0.0710062660289699,0.0689035093834061,-0.0673137486239287,0.1998721557764128,-0.0027557846435589
3m,180,0.1,0.245,0.0887590666378592,0.0736248476282284,0.068603615440278,-0.0454595597086329,0.2207205348416103,-0.0112409333621407
3m,180,0.12,0.445,0.1179126927785837,,0.0680277917723424,,,-0.0020873072214162985
3m,180,0.15,0.535,0.1360109982818399,,0.0677352732601963,,,-0.013989001718160088
3m,180,0.2,0.755,0.1902778275049641,,0.0668252771756197,,,-0.009722172495035902
3m,180,0.25,0.96,0.243259740526971,,0.0652564955382222,,,-0.006740259473029003
3m,180,0.3,0.99,0.2868452524254864,,0.0635393306518204,,,-0.01315474757451357
3m,180,0.4,1.0,0.3811208267744889,,0.0597994212650361,,,-0.018879173225511137
6m,94,0.0,0.055,0.0048042480944984,0.107561867932665,0.088180064990254,-0.1656872466856915,0.1741934002817612,0.0048042480944984
6m,94,0.01,0.065,0.0014327926886536,0.1074928353560505,0.0885352824940868,-0.1686125781165335,0.1751144312393887,-0.0085672073113463
6m,94,0.02,0.05,0.0163686016688942,0.0994686370065019,0.0882225888523881,-0.1536649441895748,0.1873017339161217,-0.0036313983311057
6m,94,0.03,0.08,0.0380687786728316,0.0961946223995328,0.0887563491920363,-0.1346413213885778,0.2104560849618898,0.0080687786728316
6m,94,0.04,0.055,0.0228231766788281,0.0998935151469459,0.0881222017886275,-0.1471039410468518,0.1935357692446626,-0.0171768233211718
6m,94,0.05,0.165,0.058199617093523,0.1021442088122464,0.0872529844753401,-0.1116920835892063,0.2267780388686196,0.008199617093523
6m,94,0.07,0.14,0.0591724885308673,0.107975680325325,0.0874605934572424,-0.1112525304338402,0.2275319925586098,-0.0108275114691326
6m,94,0.1,0.22,0.0948608171079723,0.1023404923573195,0.0869012784892282,-0.0746890365928548,0.2610023877469926,-0.0051391828920276
6m,94,0.12,0.27,0.1116373947910269,,0.0874281424250179,,,-0.008362605208973098
6m,94,0.15,0.36,0.1368900046960228,,0.0869055842312491,,,-0.01310999530397719
6m,94,0.2,0.495,0.1792161976664378,,0.0859247145883027,,,-0.020783802333562224
6m,94,0.25,0.725,0.2331584004623776,,0.0848520664857594,,,-0.016841599537622404
6m,94,0.3,0.825,0.2823512625076761,,0.0828679850172927,,,-0.017648737492323874
6m,94,0.4,0.985,0.3769220821442761,,0.078693721127587,,,-0.02307791785572394
