horizon,rho,n,ic_combined_OLD,ic_consensus_OLD,loss_OLD,boot_lo_OLD,boot_hi_OLD,boot_mean_OLD,boot_sd_OLD,ic_combined_NEW,ic_consensus_NEW,loss_NEW,boot_lo_NEW,boot_hi_NEW,boot_mean_NEW,boot_sd_NEW
2w,0.07,1259,0.1844200565828375,0.18544285670389488,0.0010228001210573767,-0.011419146818506743,0.014202380756952545,0.0010366203188657984,0.006781210197699823,0.1844200565828375,0.18544285670389488,0.0010228001210573767,-0.011419175660655556,0.014202416646760401,0.0010366228551209643,0.0067812267839579285
2w,0.1,1259,0.25409289319488826,0.2524139827882294,-0.0016789104066588512,-0.013772869708603011,0.010965404451714773,-0.001696705383739911,0.006668153061309889,0.25409289319488826,0.2524139827882294,-0.0016789104066588512,-0.013772905476060708,0.010965432335490227,-0.0016967095199793552,0.006668169341446325
2w,0.15,1259,0.35932664030127004,0.3560458122669028,-0.0032808280343672447,-0.015197828567916901,0.008877959680534094,-0.003358120570427257,0.006391901949608254,0.35932664030127004,0.3560458122669028,-0.0032808280343672447,-0.015197866967462219,0.008877980664487799,-0.003358128755229628,0.006391917555371504
2w,0.2,1259,0.4505333541870476,0.44615823531396115,-0.004375118873086448,-0.015845806025220135,0.007105310685766724,-0.004531566738710597,0.005986902996366154,0.4505333541870476,0.44615823531396115,-0.004375118873086448,-0.01584585233339363,0.007105326722127521,-0.004531577768426308,0.005986917637017937
1m,0.0,419,-0.02088639911777709,0.0009153389005166422,0.021801738018293732,-0.006441760726398337,0.05047123395383664,0.021033010602009475,0.014418267885599877,-0.02088639911777709,0.0009153389005166422,0.021801738018293732,-0.006441882031504702,0.05047221829431535,0.02103344342336385,0.014418574586918627
1m,0.03,419,0.045870208173938866,0.0688556387714785,0.022985430597539637,-0.0038421558343678616,0.051254459646621446,0.022333746331548117,0.014163170454715806,0.045870208173938866,0.0688556387714785,0.022985430597539637,-0.00384223976571741,0.05125533917660959,0.022334206007358706,0.014163470337685944
1m,0.05,419,0.09375608689765204,0.1122698806030046,0.018513793705352555,-0.009167524474018644,0.04468064688734201,0.017776501679453573,0.013725931573558305,0.09375608689765204,0.1122698806030046,0.018513793705352555,-0.009167765299811687,0.04468146101514747,0.017776867220252866,0.013726221838653092
1m,0.07,419,0.1389600601634266,0.1569681417690462,0.01800808160561959,-0.008464494932275373,0.044365282374954525,0.017184849028624938,0.013544031178344428,0.1389600601634266,0.1569681417690462,0.01800808160561959,-0.008464681007607154,0.04436645450877071,0.01718520209864319,0.013544317368597451
1m,0.1,419,0.20613967115662885,0.2222436651402862,0.01610399398365736,-0.010410581128455781,0.04329402509310812,0.015689793914162715,0.01336710329423261,0.20613967115662885,0.2222436651402862,0.01610399398365736,-0.010410772387282299,0.04329477333591049,0.01569011747754678,0.013367388256671832
1m,0.15,419,0.3077860087406627,0.32053957849712156,0.01275356975645886,-0.009850435646503975,0.036578784235485606,0.012105541462682525,0.01180636353956678,0.3077860087406627,0.32053957849712156,0.01275356975645886,-0.00985065208604715,0.03657949472364194,0.0121057912910549,0.011806615002424395
1m,0.2,419,0.4014590609741973,0.4098421362584157,0.008383075284218389,-0.012914659451840707,0.030467592011053885,0.007817973986822121,0.01103627119893505,0.4014590609741973,0.4098421362584157,0.008383075284218389,-0.012915036267410154,0.03046817683590937,0.007818134951799087,0.011036506105082219
3m,0.0,178,-0.005235501830457406,-0.012150917782087794,-0.0069154159516303885,-0.029643622018258823,0.015100555467487434,-0.0062298854487945355,0.011372718940406349,-0.005235501830457406,-0.012150917782087794,-0.0069154159516303885,-0.02964694806789159,0.015101703632205055,-0.006230495869808609,0.011373912801823741
3m,0.03,178,0.0499048332374041,0.04160633409544763,-0.008298499141956468,-0.03229291786932841,0.015963439791728953,-0.007628299584330305,0.012322122123257973,0.0499048332374041,0.04160633409544763,-0.008298499141956468,-0.03229540913200024,0.015964952756779137,-0.0076290463397258165,0.012323420564894397
3m,0.05,178,0.08246899499855839,0.07783034676023401,-0.004638648238324383,-0.026202298258698263,0.01909420817955398,-0.0039032182218018594,0.01184102587311669,0.08246899499855839,0.07783034676023401,-0.004638648238324383,-0.026204617173016805,0.01909585436078089,-0.003903596007547073,0.01184225951891759
3m,0.07,178,0.11629495419334863,0.11235423101106572,-0.003940723182282918,-0.024724739847371457,0.019912940232719688,-0.0026117376950812237,0.0118269338429934,0.11629495419334863,0.11235423101106572,-0.003940723182282918,-0.024729438705070543,0.019914999708305778,-0.0026119799201638036,0.01182816518510569
3m,0.1,178,0.16468158765183324,0.16607105430303776,0.0013894666512045128,-0.01927220034704751,0.028233834683257995,0.002863865249396496,0.012465604298283266,0.16468158765183324,0.16607105430303776,0.0013894666512045128,-0.019274718015178077,0.02823660449876589,0.0028641624389355545,0.012466909929269989
3m,0.15,178,0.24840918835358838,0.25090086591646815,0.0024916775628797683,-0.020553094967811353,0.029503398660962694,0.003144841791241678,0.012664045545813175,0.24840918835358838,0.25090086591646815,0.0024916775628797683,-0.020554474158955068,0.029507103762710832,0.0031451580551329064,0.012665355716479918
3m,0.2,178,0.33253469145009884,0.3397267240397944,0.007192032589695585,-0.012842299790728868,0.030579916142602255,0.007617675377608308,0.011429899345402623,0.33253469145009884,0.3397267240397944,0.007192032589695585,-0.012844010957202372,0.03058309742422189,0.00761844851993199,0.011431077212498605
6m,0.0,92,-0.10673057657629889,-0.115500208066828,-0.008769631490529103,-0.06516498928841145,0.054875314026786665,-0.007110907325493581,0.0315790964029532,-0.10673057657629889,-0.115500208066828,-0.008769631490529103,-0.06518316055018615,0.05488798183467024,-0.00711287736169037,0.03158856899858743
6m,0.03,92,-0.045389393215480175,-0.07306998751599032,-0.027680594300510147,-0.07725058952267931,0.028586455620116205,-0.026412049381193844,0.027113104077761463,-0.045389393215480175,-0.07306998751599032,-0.027680594300510147,-0.07727734285933678,0.028595630502398696,-0.026419598565076925,0.027121286619003863
6m,0.05,92,-0.0009247414577007846,-0.024736833993495987,-0.023812092535795203,-0.07615746805788882,0.03282755113049642,-0.02045412511751923,0.02724554947762872,-0.0009247414577007846,-0.024736833993495987,-0.023812092535795203,-0.0761900680137751,0.032836128783721795,-0.020459856011863814,0.027253817432443855
