horizon,rho,n,ic_combined,ic_consensus,loss,boot_lo,boot_hi,boot_mean,boot_sd,loss_original_v1_0,amended_by
6m,0.03,92,-0.0453893932154801,-0.0730699875159903,-0.0276805943005101,-0.0772505895226793,0.0285864556201162,-0.0264120493811938,0.0271131040777614,-0.0276805943005101,
6m,0.05,92,-0.0009247414577007,-0.0247368339934959,-0.0238120925357952,-0.0761574680578888,0.0328275511304964,-0.0204541251175192,0.0272455494776287,-0.0238120925357952,
6m,0.07,92,0.0310404882634896,0.0103879290415054,-0.0206525592219841,-0.0741353667370497,0.0387524467117734,-0.0165409121033244,0.0284391822333342,-0.0206525592219841,
6m,0.1,92,0.088852241727417,0.0669512815375368,-0.0219009601898802,-0.0697655780404728,0.0307831018910963,-0.019024382349768,0.0254809564608129,-0.0219009601898802,
6m,0.15,92,0.1802629348211396,0.1695667586270672,-0.0106961761940724,-0.0626311976943113,0.0449771126489219,-0.0086806867746559,0.0282204805034806,-0.0106961761940724,
6m,0.2,92,0.2582648767782008,0.2620409043971456,0.0037760276189448,-0.0456999522216913,0.0573274201254565,0.0054482067721899,0.0255592572225826,0.0037760276189448,
1y,0.0,45,-0.1928853754940711,-0.1529644268774703,0.040125,-0.0396673254281949,0.1166139657444005,0.0393254281949934,0.0423056971413948,0.0399209486166007,A-2026-004
1y,0.03,45,-0.084189723320158,-0.0549407114624505,0.029449,-0.0720816864295125,0.1188504611330698,0.0288418972332015,0.0499582081129888,0.0292490118577075,A-2026-004
1y,0.05,45,-0.0206851119894598,0.0259552042160737,0.046839,-0.0407378129117259,0.1200329380764163,0.0466293807641633,0.0417753916512602,0.0466403162055335,A-2026-004
1y,0.07,45,0.0216073781291172,0.0898550724637681,0.068445,-0.0117292490118577,0.1330698287220026,0.066259025032938,0.0371441366785121,0.0682476943346508,A-2026-004
1y,0.1,45,0.1167325428194993,0.1504611330698287,0.033922,-0.061663372859025,0.1109519104084321,0.0318270092226613,0.0450400199766371,0.0337285902503293,A-2026-004
1y,0.15,45,0.2284584980237154,0.2823451910408431,0.054077,-0.0248188405797101,0.1242523056653491,0.0492220026350461,0.0400620941778433,0.0538866930171277,A-2026-004
1y,0.2,45,0.3172595520421607,0.4027667984189723,0.085861,0.0013175230566534,0.1657575757575757,0.0823998682476943,0.0446368757973402,0.0855072463768115,A-2026-004
