horizon,n,target_ic,recovery_prob,mean_recovered_ic,sd_recovered_ic,mean_bootstrap_se,bias
3m,180,0.25,0.91,0.23484798913546714,0.06344608901207006,0.06479387462719222,-0.015152010864532856
3m,180,0.3,0.985,0.28631266397111027,0.06988904469995004,0.06341876645997588,-0.013687336028889718
3m,180,0.4,1.0,0.38885669310781196,0.0643845380712365,0.05904105936056015,-0.011143306892188065
6m,94,0.0,0.055,0.004804248094498427,0.10756186793266505,0.08818006499025408,0.004804248094498427
6m,94,0.01,0.065,0.0014327926886536857,0.10749283535605057,0.08853528249408683,-0.008567207311346314
6m,94,0.02,0.05,0.016368601668894266,0.09946863700650198,0.0882225888523881,-0.003631398331105734
6m,94,0.03,0.08,0.03806877867283169,0.09619462239953284,0.0887563491920363,0.008068778672831692
6m,94,0.04,0.055,0.022823176678828157,0.0998935151469459,0.08812220178862754,-0.017176823321171843
6m,94,0.05,0.165,0.05819961709352308,0.10214420881224642,0.08725298447534016,0.008199617093523077
6m,94,0.07,0.14,0.05917248853086731,0.10797568032532509,0.08746059345724248,-0.010827511469132696
6m,94,0.1,0.22,0.09486081710797237,0.10234049235731957,0.0869012784892282,-0.005139182892027638
6m,94,0.12,0.29,0.10871906946501461,0.09990538316155659,0.08662046022648008,-0.011280930534985384
6m,94,0.15,0.36,0.13365191633854712,0.10468230132977814,0.08671128983451729,-0.016348083661452878
6m,94,0.2,0.56,0.18893884333345368,0.09817081181990273,0.08564119476482875,-0.011061156666546335
6m,94,0.25,0.75,0.24276566846078815,0.10217221560971725,0.08441143918365267,-0.007234331539211852
6m,94,0.3,0.84,0.28022858794205824,0.10093970904186236,0.08343168487169486,-0.01977141205794175
6m,94,0.4,0.98,0.3818684391142578,0.08956579124571247,0.07788900558834816,-0.01813156088574225
1y,47,0.0,0.095,-0.00013991674375578135,0.14517455545266686,0.10071795601612568,-0.00013991674375578135
1y,47,0.01,0.125,0.0010210453283996312,0.16535292940671534,0.10174727133179756,-0.00897895467160037
1y,47,0.02,0.125,0.0272109158186864,0.14076533192163956,0.10197992909648629,0.007210915818686398
1y,47,0.03,0.125,0.03548392691951897,0.1326686286691058,0.10106825270730477,0.005483926919518968
1y,47,0.04,0.16,0.03430735430157262,0.14455973720254595,0.0993733656621642,-0.0056926456984273816
1y,47,0.05,0.19,0.05216870952821461,0.15474364219900044,0.09876668806451665,0.0021687095282146088
1y,47,0.07,0.175,0.05390148011100832,0.1476138036773022,0.10048973706643437,-0.016098519888991684
1y,47,0.1,0.235,0.09871241905642922,0.14249870927966127,0.10119651964080863,-0.0012875809435707875
1y,47,0.12,0.325,0.12468316373728029,0.1476692518120098,0.10075474675099078,0.0046831637372802964
1y,47,0.15,0.34,0.1391177150786309,0.14823673872178694,0.09965664236646303,-0.010882284921369084
1y,47,0.2,0.53,0.20398647086031452,0.14341129825231444,0.09710564268253737,0.003986470860314506
1y,47,0.25,0.59,0.22626561054579092,0.14292150092533662,0.09657225299478837,-0.02373438945420908
1y,47,0.3,0.8,0.2949427613320999,0.14526837380058788,0.0912688770966425,-0.005057238667900088
1y,47,0.4,0.9,0.3638540703052729,0.1271851661917868,0.09034421970613898,-0.03614592969472713
